Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Salam,580000,75,3.0,3.0,1.0,Nouveau
Villa,Al Wifaq,2000000,120,3.0,3.0,2.0,Nouveau
Appartement,Haut Founty,1230000,85,3.0,3.0,2.0,Nouveau
Villa,Tilila,4500000,300,4.0,4.0,2.0,Nouveau
Villa,Charaf,2200000,167,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,770000,73,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,1100000,100,4.0,4.0,2.0,Nouveau
Appartement,Hay Mohammadi,1460000,130,4.0,4.0,2.0,Nouveau
Villa,Hay Mohammadi,1400000,75,3.0,3.0,1.0,Nouveau
Appartement,Hay Mohammadi,880000,80,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,620000,61,3.0,3.0,2.0,Nouveau
Appartement,Haut Founty,1650000,110,3.0,2.0,3.0,Nouveau
Villa,Lekhiam,1450000,82,12.0,7.0,3.0,Bon état
Villa,Riad Salam,2100000,127,18.0,7.0,6.0,Bon état
Appartement,Hay Houda,510000,50,5.0,2.0,1.0,Bon état
Appartement,Hay Houda,1250000,98,4.0,3.0,2.0,Bon état
Appartement,Talborjt,1340000,161,4.0,3.0,2.0,Nouveau
Appartement,Haut Founty,2240000,140,3.0,3.0,3.0,Bon état
Appartement,Secteur Touristique,2800000,125,5.0,2.0,1.0,Nouveau
Appartement,Haut Founty,1305500,77,3.0,2.0,1.0,Nouveau
Appartement,Hay Mohammadi,600000,60,4.0,2.0,1.0,Nouveau
Appartement,Hay Salam,1650000,122,4.0,3.0,2.0,Bon état
Appartement,Ville Nouvelle,1400000,195,6.0,4.0,3.0,Bon état
Appartement,Anza,650000,60,2.0,1.0,1.0,Nouveau
Appartement,Al Wifaq,900000,98,1.0,3.0,2.0,Nouveau
Appartement,Riad Salam,1500000,94,4.0,4.0,2.0,Bon état
Appartement,Hay Salam,400000,54,1.0,2.0,1.0,Bon état
Villa,Hay Mohammadi,5200000,210,6.0,4.0,3.0,Bon état
Villa,Riad Salam,3200000,126,7.0,5.0,3.0,Bon état
Villa,Founti,3500000,162,5.0,3.0,2.0,Bon état
Villa,Tilila,2600000,112,11.0,4.0,3.0,Bon état
Appartement,Hay Dakhla,1150000,123,7.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,480000,54,1.0,2.0,1.0,Bon état
Villa,Secteur Touristique,3600000,218,1.0,5.0,1.0,Nouveau
Appartement,Al Wifaq,560000,60,5.0,2.0,1.0,Bon état
Appartement,Ville Nouvelle,950000,92,8.0,2.0,2.0,Bon état
Villa,Lekhiam,1300000,80,8.0,5.0,3.0,Bon état
Appartement,Hay Salam,750000,78,4.0,2.0,1.0,Bon état
